sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,sq_mt_price_by_place
144.0,4,2,5,1862,585000,4062,Pisos,False,False,,None,None,True,True,True,True,True,False,True,G,True,None,None,None,None,4456.18
99.0,3,1,2,1161,285000,2879,Pisos,False,False,1970.0,None,None,True,True,False,True,False,True,True,G,False,None,None,None,None,3152.53
90.0,4,2,4,1067,250000,2778,Pisos,False,False,,None,None,False,True,True,True,False,True,True,no indicado,False,False,False,False,True,2679.63
262.0,5,4,,2410,845000,3225,Casa o chalet,False,False,1991.0,None,None,True,True,None,None,False,True,True,C,True,False,False,True,False,3152.53
111.0,3,2,3,1564,455000,4099,Pisos,False,False,2006.0,False,True,True,True,True,True,True,False,True,no indicado,True,False,False,True,False,4456.18
57.0,2,1,2,721,144000,2526,Pisos,False,False,,None,None,True,False,False,None,False,True,False,E,False,None,None,None,None,2915.33
52.0,1,1,2,881,189000,3635,Pisos,False,False,,None,None,True,True,True,True,True,False,False,no indicado,False,False,True,False,False,2915.33
90.0,3,2,2,1187,295000,3278,Pisos,True,False,,None,None,True,True,True,None,False,True,False,no indicado,False,False,False,True,False,3152.53
92.0,2,1,1,1368,369000,4011,Pisos,False,False,,True,False,True,True,True,True,False,False,True,E,False,False,True,False,False,2679.63
132.0,4,3,7,1642,489000,3705,Dúplex,True,False,,False,True,False,True,True,True,False,True,False,no indicado,False,False,False,False,True,4275.46
130.0,3,2,2,1897,600000,4615,Pisos,False,False,2007.0,False,True,True,True,True,True,True,False,True,D,True,False,True,True,False,4456.18
173.0,3,2,1,1804,560000,3237,Pisos,False,False,,False,True,True,True,True,True,True,True,True,no indicado,True,False,False,False,True,4456.18
109.0,2,2,4,1485,420000,3853,Pisos,False,False,,None,None,True,False,True,True,False,False,True,en trámite,True,None,None,None,None,4456.18
121.0,2,2,,1238,315000,2603,Dúplex,False,False,2007.0,False,True,True,True,True,True,True,True,False,E,True,False,True,False,True,3636.96
179.0,3,2,4,2265,765000,4274,Áticos,False,False,1994.0,False,True,True,True,True,True,True,True,False,E,True,False,False,True,False,4275.46
162.0,3,3,1,2514,950000,5864,Pisos,False,False,2007.0,False,True,True,True,True,True,True,False,True,en trámite,True,True,True,False,False,3773.82
135.0,4,2,,1496,425000,3148,Casa o chalet,True,False,1960.0,False,True,False,True,None,None,False,False,False,en trámite,False,False,True,False,True,2679.63
101.0,2,2,2,1519,435000,4307,Pisos,False,False,2010.0,False,True,True,True,True,True,True,False,True,en trámite,True,False,False,True,True,3636.96
80.0,2,1,3,1299,340000,4250,Pisos,False,False,1993.0,False,True,False,True,True,True,False,True,False,en trámite,True,False,False,True,True,4275.46
200.0,3,2,5,2010,649000,3245,Pisos,False,False,1975.0,True,False,True,True,True,True,True,False,True,F,True,None,None,None,None,3773.82
130.0,3,2,1,1873,590000,4538,Pisos,False,False,2008.0,None,None,True,True,True,True,True,False,True,en trámite,True,False,False,True,True,4456.18
104.0,0,2,3,1006,229000,2202,Dúplex,False,False,2007.0,False,True,True,False,True,True,True,False,False,en trámite,True,False,False,False,True,3636.96
76.0,3,1,2,1024,235000,3092,Pisos,False,False,,False,True,False,True,True,True,False,True,False,F,False,False,False,True,False,2915.33
80.0,3,2,1,1172,289000,3612,Dúplex,True,False,,False,True,True,True,False,True,False,False,True,G,False,False,True,False,False,2915.33
117.0,3,1,4,1275,330000,2821,Pisos,False,None,1971.0,None,None,True,False,True,True,False,False,True,F,False,False,False,False,True,3152.53
105.0,3,1,9,1248,319000,3038,Pisos,True,False,1972.0,True,False,True,True,True,True,False,True,False,en trámite,False,False,False,True,False,3152.53
55.0,1,1,2,1161,285000,5182,Pisos,False,False,,False,True,True,False,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
163.0,3,2,,2126,700000,4294,Casa o chalet,True,False,,None,None,False,False,None,None,False,False,False,en trámite,False,None,None,None,None,3152.53
150.0,3,3,4,2170,720000,4800,Dúplex,False,False,1995.0,False,True,True,True,True,True,True,True,True,en trámite,True,False,False,True,False,4275.46
92.0,2,2,2,1323,350000,3804,Pisos,True,False,1973.0,True,False,True,True,True,True,False,False,True,en trámite,False,False,True,False,False,2679.63
148.0,3,2,1,1966,630000,4257,Pisos,False,False,2005.0,False,True,True,True,True,True,True,True,True,E,True,None,None,None,None,3773.82
